# GNUBANDS: Utility for SIESTA to transform bands output into Gnuplot format
#
#                                                  Emilio Artacho, Feb. 1999
# --------------------------------------------------------------------------
# E_F               =    -5.0827
# k_min, k_max      =     0.0000    3.0152
# E_min, E_max      =   -24.5202  175.4172
# Nbands, Nspin, Nk =     52     1   506
#
#        k            E
# --------------------------------------------------------------------------
      2.877805    -24.340100
      2.883777    -24.355400
      2.889749    -24.370100
      2.895720    -24.384100
      2.901692    -24.397300
      2.907664    -24.409900
      2.913635    -24.421900
      2.919607    -24.433100
      2.925579    -24.443700
      2.931550    -24.453500
      2.937522    -24.462700
      2.943494    -24.471200
      2.949465    -24.479000
      2.955437    -24.486200
      2.961409    -24.492600
      2.967380    -24.498400
      2.973352    -24.503500
      2.979324    -24.507900
      2.985295    -24.511700
      2.991267    -24.514700
      2.997239    -24.517100
      3.003210    -24.518800
      3.009182    -24.519800
      3.015154    -24.520200


      0.000000    -17.673500
      0.005972    -17.714700
      0.011943    -17.764400
      0.017915    -17.817500
      0.023887    -17.873700
      0.029858    -17.932900
      0.035830    -17.994500
      0.041802    -18.058300
      0.047773    -18.124100
      0.053745    -18.191700
      0.059717    -18.260700
      0.065688    -18.330900
      0.071660    -18.402300
      0.077632    -18.474600
      0.083603    -18.547600
      0.089575    -18.621300
      0.095547    -18.695600
      0.101518    -18.770200
      0.107490    -18.845200
      0.113462    -18.920500
      0.119433    -18.995900
      0.125405    -19.071400
      0.131377    -19.147000
      0.137348    -19.222600
      0.143320    -19.298100
      0.149292    -19.373500
      0.155263    -19.448800
      0.161235    -19.523900
      0.167207    -19.598800
      0.173178    -19.673400
      0.179150    -19.747800
      0.185122    -19.821900
      0.191093    -19.895700
      0.197065    -19.969200
      0.203037    -20.042300
      0.209008    -20.115000
      0.214980    -20.187400
      0.220952    -20.259300
      0.226923    -20.330800
      0.232895    -20.401900
      0.238867    -20.472500
      0.244839    -20.542700
      0.250810    -20.612400
      0.256782    -20.681600
      0.262754    -20.750400
      0.268725    -20.818600
      0.274697    -20.886400
      0.280669    -20.953600
      0.286640    -21.020300
      0.292612    -21.086500
      0.298584    -21.152200
      0.304555    -21.217300
      0.310527    -21.281800
      0.316499    -21.345800
      0.322470    -21.409300
      0.328442    -21.472200
      0.334414    -21.534500
      0.340385    -21.596200
      0.346357    -21.657400
      0.352329    -21.718000
      0.358300    -21.778000
      0.364272    -21.837400
      0.370244    -21.896200
      0.376215    -21.954500
      0.382187    -22.012100
      0.388159    -22.069100
      0.394130    -22.125500
      0.400102    -22.181300
      0.406074    -22.236500
      0.412045    -22.291100
      0.418017    -22.345000
      0.423989    -22.398400
      0.429960    -22.451100
      0.435932    -22.503200
      0.441904    -22.554600
      0.447875    -22.604600
      0.453847    -22.582000
      0.459819    -22.555800
      0.465790    -22.528900
      0.471762    -22.501300
      0.477734    -22.473100
      0.483705    -22.444200
      0.489677    -22.414700
      0.495649    -22.384500
      0.501620    -22.353700
      0.507592    -22.322100
      0.513564    -22.290000
      0.519535    -22.257200
      0.525507    -22.223700
      0.531479    -22.189600
      0.537450    -22.154800
      0.543422    -22.119400
      0.549394    -22.083400
      0.555365    -22.046700
      0.561337    -22.009300
      0.567309    -21.971300
      0.573280    -21.932700
      0.579252    -21.893500
      0.585224    -21.853600
      0.591195    -21.813100
      0.597167    -21.771900
      0.603139    -21.730200
      0.609110    -21.687800
      0.615082    -21.644700
      0.621054    -21.601100
      0.627025    -21.556800
      0.632997    -21.512000
      0.638969    -21.466500
      0.644940    -21.420400
      0.650912    -21.373800
      0.656884    -21.326500
      0.662855    -21.278600
      0.668827    -21.230200
      0.674799    -21.181100
      0.680770    -21.131500
      0.686742    -21.081300
      0.692714    -21.030600
      0.698686    -20.979300
      0.704657    -20.927400
      0.710629    -20.875100
      0.716601    -20.822200
      0.722572    -20.768700
      0.728544    -20.714800
      0.734516    -20.660400
      0.740487    -20.605500
      0.746459    -20.550200
      0.752431    -20.494400
      0.758402    -20.438300
      0.764374    -20.381700
      0.770346    -20.324800
      0.776317    -20.267600
      0.782289    -20.210200
      0.788261    -20.152500
      0.794232    -20.094700
      0.800204    -20.036900
      0.806176    -19.979000
      0.812147    -19.921300
      0.818119    -19.863900
      0.824091    -19.806900
      0.830062    -19.750600
      0.836034    -19.695300
      0.842006    -19.641200
      0.847977    -19.588900
      0.853949    -19.538900
      0.859921    -19.492000
      0.865892    -19.448900
      0.871864    -19.411000
      0.877836    -19.379300
      0.883807    -19.355300
      0.889779    -19.340300
      0.895751    -19.335200
      0.901718    -19.336700
      0.907684    -19.341200
      0.913651    -19.348600
      0.919618    -19.358600
      0.925585    -19.371100
      0.931552    -19.385900
      0.937519    -19.402500
      0.943486    -19.420900
      0.949453    -19.440600
      0.955420    -19.461500
      0.961386    -19.483400
      0.967353    -19.506100
      0.973320    -19.529400
      0.979287    -19.553100
      0.985254    -19.577200
      0.991221    -19.601400
      0.997188    -19.625800
      1.003155    -19.650200
      1.009122    -19.674500
      1.015089    -19.698800
      1.021055    -19.722800
      1.027022    -19.746600
      1.032989    -19.770200
      1.038956    -19.793400
      1.044923    -19.816300
      1.050890    -19.838900
      1.056857    -19.861000
      1.062824    -19.882700
      1.068791    -19.904000
      1.074757    -19.924900
      1.080724    -19.945200
      1.086691    -19.965100
      1.092658    -19.984400
      1.098625    -20.003200
      1.104592    -20.021500
      1.110559    -20.039300
      1.116526    -20.056500
      1.122493    -20.073200
      1.128460    -20.089300
      1.134426    -20.104800
      1.140393    -20.119800
      1.146360    -20.134200
      1.152327    -20.148000
      1.158294    -20.161200
      1.164261    -20.173800
      1.170228    -20.185800
      1.176195    -20.197200
      1.182162    -20.208000
      1.188128    -20.218200
      1.194095    -20.227800
      1.200062    -20.236800
      1.206029    -20.245200
      1.211996    -20.252900
      1.217963    -20.260100
      1.223930    -20.266600
      1.229897    -20.272500
      1.235864    -20.277800
      1.241830    -20.282400
      1.247797    -20.286500
      1.253764    -20.289900
      1.259731    -20.292700
      1.265698    -20.294900
      1.271665    -20.296400
      1.277632    -20.297300
      1.283599    -20.297600
      1.289566    -20.297300
      1.295533    -20.296400
      1.301499    -20.294800
      1.307466    -20.292600
      1.313433    -20.289800
      1.319400    -20.286400
      1.325367    -20.282300
      1.331334    -20.277600
      1.337301    -20.272300
      1.343268    -20.266400
      1.349235    -20.259900
      1.355201    -20.252700
      1.361168    -20.244900
      1.367135    -20.236600
      1.373102    -20.227600
      1.379069    -20.217900
      1.385036    -20.207700
      1.391003    -20.196900
      1.396970    -20.185500
      1.402937    -20.173400
      1.408903    -20.160800
      1.414870    -20.147600
      1.420837    -20.133800
      1.426804    -20.119400
      1.432771    -20.104400
      1.438738    -20.088800
      1.444705    -20.072700
      1.450672    -20.056000
      1.456639    -20.038800
      1.462606    -20.021000
      1.468572    -20.002700
      1.474539    -19.983900
      1.480506    -19.964500
      1.486473    -19.944600
      1.492440    -19.924300
      1.498407    -19.903400
      1.504374    -19.882100
      1.510341    -19.860400
      1.516308    -19.838300
      1.522274    -19.815700
      1.528241    -19.792800
      1.534208    -19.769500
      1.540175    -19.746000
      1.546142    -19.722200
      1.552109    -19.698100
      1.558076    -19.673900
      1.564043    -19.649600
      1.570010    -19.625200
      1.575977    -19.600800
      1.581943    -19.576600
      1.587910    -19.552500
      1.593877    -19.528800
      1.599844    -19.505600
      1.605811    -19.483000
      1.611778    -19.461100
      1.617745    -19.440200
      1.623712    -19.420500
      1.629679    -19.402300
      1.635645    -19.385700
      1.641612    -19.371000
      1.647579    -19.358600
      1.653546    -19.348600
      1.659513    -19.341300
      1.665480    -19.336700
      1.671447    -19.334400
      1.677420    -19.335000
      1.683392    -19.334300
      1.689365    -19.332800
      1.695338    -19.330800
      1.701311    -19.328100
      1.707283    -19.324800
      1.713256    -19.321000
      1.719229    -19.316500
      1.725202    -19.311400
      1.731174    -19.305800
      1.737147    -19.299500
      1.743120    -19.292700
      1.749093    -19.285300
      1.755065    -19.277200
      1.761038    -19.268600
      1.767011    -19.259400
      1.772984    -19.249600
      1.778956    -19.239200
      1.784929    -19.228200
      1.790902    -19.216600
      1.796875    -19.204400
      1.802847    -19.191600
      1.808820    -19.178200
      1.814793    -19.164200
      1.820766    -19.149600
      1.826738    -19.134500
      1.832711    -19.118700
      1.838684    -19.102300
      1.844657    -19.085400
      1.850629    -19.067800
      1.856602    -19.049700
      1.862575    -19.030900
      1.868548    -19.011600
      1.874520    -18.991700
      1.880493    -18.971200
      1.886466    -18.950000
      1.892439    -18.928300
      1.898411    -18.906000
      1.904384    -18.883100
      1.910357    -18.859600
      1.916329    -18.835600
      1.922302    -18.810900
      1.928275    -18.785600
      1.934248    -18.759800
      1.940220    -18.733300
      1.946193    -18.706300
      1.952166    -18.678700
      1.958139    -18.650500
      1.964111    -18.621700
      1.970084    -18.592300
      1.976057    -18.562300
      1.982030    -18.531800
      1.988002    -18.500600
      1.993975    -18.468900
      1.999948    -18.436600
      2.005921    -18.403700
      2.011893    -18.370300
